"Prize Name","Category","Body/Organization","Deadline (Approximate/Confirmed)","Info URL","Application URL"
"Prime Minister's Prize for Science","National Government","Australian Government","Dec 2025 (Confirmed), Dec 2026 (Expected)","https://industry.gov.au/PMPrizes","https://business.gov.au/scienceprizes"
"Prime Minister's Prize for Innovation","National Government","Australian Government","Dec 2025 (Confirmed), Dec 2026 (Expected)","https://industry.gov.au/PMPrizes","https://business.gov.au/scienceprizes"
"Frank Fenner Prize for Life Scientist of the Year","National Government","Australian Government","Dec 2025 (Confirmed), Dec 2026 (Expected)","https://industry.gov.au/PMPrizes","https://business.gov.au/scienceprizes"
"Malcolm McIntosh Prize for Physical Scientist of the Year","National Government","Australian Government","Dec 2025 (Confirmed), Dec 2026 (Expected)","https://industry.gov.au/PMPrizes","https://business.gov.au/scienceprizes"
"Prize for New Innovators","National Government","Australian Government","Dec 2025 (Confirmed), Dec 2026 (Expected)","https://industry.gov.au/PMPrizes","https://business.gov.au/scienceprizes"
"NSW Premier's Prizes for Science & Engineering","State Government (NSW)","NSW Government","May 2025 (Closed), May 2026 (Expected)","https://www.chiefscientist.nsw.gov.au/premiersprizes","https://www.chiefscientist.nsw.gov.au/premiersprizes"
"Victoria Prize for Science and Innovation","State Government (VIC)","VESKI / Victorian Govt","Sep 22, 2025 (Confirmed)","https://www.veski.org.au/victoria-prize","https://www.veski.org.au/victoria-prize"
"Peter Doherty Awards for Excellence in STEM Education","State Government (QLD)","Queensland Government","Mar 31, 2025 (Closed), Mar 30, 2026 (Confirmed)","https://www.qld.gov.au/PeterDohertyAwards","https://www.qld.gov.au/PeterDohertyAwards"
"WA Premier's Science Awards","State Government (WA)","WA Government","Jul 28, 2025 (Confirmed)","https://www.wa.gov.au/organisation/department-of-jobs-tourism-science-and-innovation/premiers-science-awards","https://psa.grantplatform.com"
"SA Science Excellence and Innovation Awards","State Government (SA)","SA Government","Apr 28, 2025 (Confirmed)","https://scienceawards.sa.gov.au","https://scienceawards.sa.gov.au"
"Tasmanian STEM Excellence Awards","State Government (TAS)","Tasmanian Government","Sep 18, 2025 (Closed)","https://www.stategrowth.tas.gov.au/","https://www.stategrowth.tas.gov.au/"
"ACT Emerging Scientist of the Year Award","State Government (ACT)","ACT Government","Jun 20, 2025 (Confirmed)","https://www.act.gov.au/scientistofyear","https://www.act.gov.au/scientistofyear"
"Radicle Science Awards NT","State Government (NT)","Radicle Centre / NT Govt","Oct 7, 2025 (Confirmed)","https://www.radiclent.net/","https://www.radiclent.net/"
"Australian Academy of Science Honorific Awards","Academy","Australian Academy of Science","May 1, 2025 (Closed), May 1, 2026 (Anton Hales Medal)","https://www.science.org.au/our-work/awards-grants-and-programs/awards","https://www.science.org.au/our-work/awards-grants-and-programs/awards"
"ATSE Clunies Ross Awards","Academy","ATSE","Nominations Closed for 2025, 2026 TBA (Mar Expected)","https://www.atse.org.au/programs-and-awards/clunies-ross-awards/","https://www.atse.org.au/programs-and-awards/clunies-ross-awards/"
"AAHMS Outstanding First Nations Researcher Medal","Academy","AAHMS","Mar 1, 2026 (Confirmed)","https://aahms.org/awards/","mailto:awards@aahms.org"
"AAHMS Outstanding Female Researcher Medal","Academy","AAHMS","Mar 1, 2026 (Confirmed)","https://aahms.org/awards/","mailto:awards@aahms.org"
"AAHMS Jian Zhou Medal","Academy","AAHMS","Apr 30, 2026 (Confirmed)","https://aahms.org/awards/","mailto:awards@aahms.org"
"AIP Medals (Various)","Professional Body","Australian Institute of Physics","Varies (e.g., Dec 15, 2025 for some 2026 awards)","https://aip.org.au/Awards","https://aip.org.au/Awards"
"RACI National Awards","Professional Body","RACI","Apr 1 - Jun 30 (Annual)","https://raci.org.au/RACI/Awards/National_Awards.aspx","https://raci.org.au/RACI/Awards/National_Awards.aspx"
"Australian Museum Eureka Prizes","Private/Partnership","Australian Museum","Apr 16, 2026 (Confirmed)","https://australian.museum/get-involved/eureka-prizes/","https://eurekaprizes.australian.museum/login"
"L'Oréal-UNESCO For Women in Science Fellowships","Private/Partnership","L'Oréal Australia","Mar 10, 2026 (Confirmed)","https://www.forwomeninscience.com.au/","https://www.forwomeninscience.com.au/"
"CSL Florey Medal","Private/Partnership","AIPS / CSL","Biennial (Next likely 2027 for 2026 award cycle)","https://aips.net.au/florey-medal/","https://aips.net.au/florey-medal/"
"WEHI Burnet Prize","Institute","WEHI","TBA (Annual)","https://www.wehi.edu.au/","https://www.wehi.edu.au/"
"GRDC Research Scholarship","Industry (Agriculture)","Grains Research & Development Corp","Oct 15, 2025 (Confirmed)","https://grdc.com.au/about/rd-and-e-capacity-and-ability/grdc-research-scholarship","https://grdc.com.au/about/rd-and-e-capacity-and-ability/grdc-research-scholarship"
"AMOS Regional/Biennial Awards","Professional Body","Australian Meteorological & Oceanographic Society","Variable (Dec 31 for Regional, Sep for Biennial)","https://www.amos.org.au/activities/awards/","mailto:awards@amos.org.au"
"ASA Emerging Leaders in Astronomy Software Prize","Professional Body","Astronomical Society of Australia","Feb 13, 2026 (Confirmed)","https://asa.astronomy.org.au/awards/prizes/","mailto:thill@museum.vic.gov.au"
"ESA Conference Grants (Various)","Professional Body","Ecological Society of Australia","Aug - Oct 2025 (Confirmed)","https://www.ecolsoc.org.au/awards-and-grants/","https://www.ecolsoc.org.au/awards-and-grants/"
"AMSA Marine Science Awards","Professional Body","Australian Marine Sciences Association","Mar 15 (Annual)","https://www.amsa.asn.au/amsa-awards","https://www.amsa.asn.au/amsa-awards"
"AustMS WIMSIG Cheryl E. Praeger Travel Awards","Professional Body","AustMS","Apr 1 / Oct 1 (Annual)","https://austms.org.au/awards-grants/awards/open-to-students/wimsig-cheryl-e-praeger-travel-awards/","mailto:office@austms.org.au"
"AustMS WIMSIG Anne Penfold Street Awards","Professional Body","AustMS","Apr 1 / Oct 1 (Annual)","https://austms.org.au/awards-grants/awards/open-to-students/wimsig-anne-penfold-street-awards/","mailto:office@austms.org.au"
"AMSI/AustMS WIMSIG Maryam Mirzakhani Award","Professional Body","AustMS","Apr 1 (Annual)","https://austms.org.au/awards-grants/awards/open-to-students/maryam-mirzakhani-award/","mailto:office@austms.org.au"
"AustMS Student Support Scheme","Professional Body","AustMS","Sep 12, 2025 (Confirmed)","https://austms.org.au/awards-grants/awards/open-to-students/student-support-scheme/","https://austms.org.au/awards-grants/awards/open-to-students/student-support-scheme/"
"AustMS Teaching Excellence Awards","Professional Body","AustMS","Sep 30 (Annual)","https://austms.org.au/awards-grants/awards/teaching-excellence-awards/","https://austms.org.au/awards-grants/awards/teaching-excellence-awards/"
"Australian Mathematical Society Medal","Professional Body","AustMS","May 24 (Annual)","https://austms.org.au/awards-grants/awards/the-australian-mathematical-society-medal/","https://austms.org.au/awards-grants/awards/the-australian-mathematical-society-medal/"
"George Szekeres Medal","Professional Body","AustMS","May 24 (Annual)","https://austms.org.au/awards-grants/awards/the-george-szekeres-medal/","https://austms.org.au/awards-grants/awards/the-george-szekeres-medal/"
"Gavin Brown Prize","Professional Body","AustMS","May 24 (Annual)","https://austms.org.au/awards-grants/awards/gavin-brown-prize/","https://austms.org.au/awards-grants/awards/gavin-brown-prize/"
"AustMS Lift-off Fellowships","Professional Body","AustMS","Any time","https://austms.org.au/awards-grants/awards/open-to-students/lift-off-fellowships/","mailto:office@austms.org.au"
