Body/Organization,Category,Prize Name,Subcategories,Deadline,Status,Info URL,Application URL
"Australian Government (Dept. of Industry, Science and Resources)",National Government,Prime Minister's Prizes for Science,Prime Minister's Prize for Science; Prime Minister's Prize for Innovation; Frank Fenner Prize for Life Scientist of the Year; Malcolm McIntosh Prize for Physical Scientist of the Year; Prize for New Innovators; Prime Minister's Prize for Aboriginal and Torres Strait Islander Knowledge Systems; Prime Minister's Prize for Excellence in Science Teaching in Primary Schools; Prime Minister's Prize for Excellence in Science Teaching in Secondary Schools,"Dec 18, 2025",Nominations Close,https://www.industry.gov.au/science-technology-and-innovation/science-engagement/prime-ministers-prizes-science,https://business.gov.au/scienceprizes
Australian Government,National Government,Prime Minister's Prize for Innovation,Prime Minister's Prize for Innovation (within PM's Prizes for Science),"Dec 18, 2025",Nominations Close,https://www.industry.gov.au/science-technology-and-innovation/science-engagement/prime-ministers-prizes-science,https://business.gov.au/scienceprizes
Australian Government,National Government,Prime Minister's Prize for Aboriginal and Torres Strait Islander Knowledge Systems,Standalone category within PM's Prizes for Science,"Dec 18, 2025",Nominations Close,https://www.industry.gov.au/science-technology-and-innovation/science-engagement/prime-ministers-prizes-science,https://business.gov.au/scienceprizes
Australian Government,National Government,Prime Minister's Prizes for Excellence in Science Teaching,Primary Schools; Secondary Schools,"Dec 18, 2025",Nominations Close,https://www.industry.gov.au/science-technology-and-innovation/science-engagement/prime-ministers-prizes-science,https://business.gov.au/scienceprizes
Australian Research Council,National Government,ARC Discovery Projects,Discovery Indigenous; Discovery Early Career Researcher Award (DECRA); Future Fellowships; Australian Laureate Fellowships,Feb 2026,Expected,https://www.arc.gov.au/funding-research/arc-funding-schemes/discovery,https://www.arc.gov.au/funding-research/apply-funding
Australian Research Council,National Government,ARC Linkage Projects,Linkage Projects; Linkage Infrastructure; International Outreach,Nov 2026,Expected,https://www.arc.gov.au/funding-research/arc-funding-schemes/linkage,https://www.arc.gov.au/funding-research/apply-funding
Australian Research Council,National Government,ARC DECRA Fellowships,Discovery Early Career Researcher Award (DECRA),Feb 2026,Expected,https://www.arc.gov.au/funding-research/funding/arc-fellowships/discovery-early-career-researcher-award,https://www.arc.gov.au/funding-research/apply-funding
Australian Research Council,National Government,ARC Future Fellowships,Future Fellowships,Sep 2026,Expected,https://www.arc.gov.au/funding-research/funding/arc-fellowships/future-fellowship,https://www.arc.gov.au/funding-research/apply-funding
National Health and Medical Research Council,National Government,NHMRC Funding Schemes,Investigator Grants; Ideas Grants; Clinical Trials and Cohort Studies; Synergy Grants; Partnerships Grants; Translation of Research into Practice Fellowships,Various Rounds 2026,,https://www.nhmrc.gov.au/funding,https://www.nhmrc.gov.au/funding
CSIRO,National Government,CSIRO Awards,Chair's Award for Science and Engineering Excellence; Aboriginal and Torres Strait Islander Engagement Impact Excellence Award; Sir Ian McLennan Impact from Science and Engineering Award; CEO Awards for Science and Engineering; Indigenous STEM Awards; Postgraduate Scholarships,Internal Deadlines Vary 2026,,https://www.csiro.au,https://www.csiro.au
NSW Government (Office of the Chief Scientist),State Government,NSW Premier's Prizes for Science and Engineering,Category prizes by discipline (Life Sciences; Physical Sciences; Mathematics; Earth Sciences; Engineering; Computer Science); Early Career Researcher; Innovation in Science; Excellence in Science Teaching,Oct 2026,Expected,https://www.research.nsw.gov.au,https://www.research.nsw.gov.au
Victorian Government,State Government,Premier's Awards for Health and Medical Research,Aboriginal Researcher; Basic Science Researcher; Clinical Researcher; Health Services Researcher; Public Health Researcher; Premier's Award for Health and Medical Research Excellence,Mid 2026,Expected,https://www.business.vic.gov.au,https://www.business.vic.gov.au
VESKI / Victorian Govt,State Government,Victoria Prize for Science and Innovation,Victoria Prize (for outstanding achievement); Victoria Fellowships,Sep 2026,Expected,https://www.veski.org.au/victoria-prize,https://www.veski.org.au/victoria-prize
Queensland Government,State Government,Queensland Science Awards,Queensland Greats; Queensland Science Awards (various categories),Mid 2026,Expected,https://www.qld.gov.au,https://www.qld.gov.au
Queensland Government,State Government,Peter Doherty Awards for Excellence in STEM Education,Peter Doherty Award for Outstanding STEM Teacher (Early Career); Peter Doherty Award for Outstanding STEM Teacher (Experienced); Principal for STEM Excellence,Mar 2026,Expected,https://www.qld.gov.au/PeterDohertyAwards,https://www.qld.gov.au/PeterDohertyAwards
South Australian Government,State Government,SA Science Excellence and Innovation Awards,Scientist of the Year; Innovation Awards; STEM Teacher Awards; University Research Awards,Apr 2026,Expected,https://scienceawards.sa.gov.au,https://scienceawards.sa.gov.au
Western Australian Government,State Government,WA Premier's Science Awards,Scientist of the Year; Early Career Scientist; Mid-Career Scientist; Science Student of the Year; Innovation Award; Ignite Award,Aug 2026,Expected,https://www.wa.gov.au,https://psa.grantplatform.com
Tasmanian Government,State Government,Tasmanian STEM Excellence Awards,Primary Teacher; Secondary Teacher; School Leader; Student; Early Career Researcher,Sep 2026,Expected,https://www.stategrowth.tas.gov.au,https://www.stategrowth.tas.gov.au
ACT Government,State Government,ACT Chief Scientist Awards,ACT Scientist of the Year; ACT Early Career Scientist; ACT STEM Teacher of the Year; ACT Year 12 Science Student,Mid 2026,Expected,https://www.act.gov.au,https://www.act.gov.au
Northern Territory Government,State Government,Northern Territory Research and Innovation Awards,Research Excellence; Innovation; Indigenous Research; Early Career; Student,Late 2026,Expected,https://www.nt.gov.au,https://www.nt.gov.au
University of Sydney,University,University of Sydney Vice-Chancellor's Awards for Research Excellence,Harry Messel Excellence Award; Faculty Research Awards; Early Career Researcher Awards; Research Partnership Awards,Mar 2026,Expected,https://www.sydney.edu.au,https://www.sydney.edu.au
Australian National University,University,ANU Vice-Chancellor's Awards,ANU Researcher of the Year; Early Career Researcher Award; Research Impact Award; Research Supervisor Award; HDR Student Awards,Early 2026,Expected,https://www.anu.edu.au,https://www.anu.edu.au
University of Melbourne,University,University of Melbourne Research Awards,Melbourne Deputy Vice-Chancellor's Awards; Research Impact Awards; Early Career Researcher Awards; Research Training Awards; Spot Awards,Mid 2026,Expected,https://www.unimelb.edu.au,https://www.unimelb.edu.au
University of Queensland,University,UQ Research Excellence Awards,UQ Researcher of the Year; Research Impact Award; Early Career Researcher Award; Team Research Award; HDR Student Excellence Awards,Late 2026,Expected,https://www.uq.edu.au,https://www.uq.edu.au
Monash University,University,Monash University Research Awards,Monash Distinguished Professor Award; Research Distinguished Professor; Early Career Researcher Award; Research Impact Award; Faculty-specific awards,Mid 2026,Expected,https://www.monash.edu,https://www.monash.edu
University of New South Wales,University,UNSW Faculty Awards,Faculty-specific research awards across all disciplines; UNSW Science Awards; UNSW Engineering Awards; UNSW Medicine Awards,Varies by Faculty 2026,,https://www.unsw.edu.au,https://www.unsw.edu.au
University of Western Australia,University,UWA Research Awards,Researcher of the Year; Early Career Researcher; Research Impact; HDR Student Awards; Faculty Awards,Late 2026,Expected,https://www.uwa.edu.au,https://www.uwa.edu.au
University of Adelaide,University,University of Adelaide Research Awards,Faculty Research Awards; Early Career Researcher Awards; Postgraduate Research Awards; Research Collaboration Awards,Mid 2026,Expected,https://www.adelaide.edu.au,https://www.adelaide.edu.au
Australian Academy of Science,Scientific Academy,Australian Academy of Science Honorific Awards,Career awards (for life-long achievement); mid-career awards; early-career awards; premier awards; travel fellowships; research funding,May-Jun 2026,Various,https://www.science.org.au/our-work/awards-grants-programs/awards-opportunities,https://science.grantplatform.com
Australian Academy of Science,Scientific Academy,Aboriginal and Torres Strait Islander Scientist Award,PhD Student Funding; Early-Career Researcher Funding; Mid-Career Researcher Funding,"Jun 1, 2026",Confirmed,https://www.science.org.au/our-work/awards-programs/awards-opportunities/aboriginal-torres-strait-islander-scientist-award,https://science.grantplatform.com
Australian Academy of Technological Sciences and Engineering,Scientific Academy,ATSE Clunies Ross Awards,Clunies Ross Award for Science and Technology; Clunies Ross Award for Engineering; Clunies Ross Knowledge Transfer Award; Emerging Technologies Award,Mid 2026,Expected,https://www.atse.org.au/what-we-do/atse-awards/,https://www.atse.org.au/what-we-do/atse-awards/
Australian Academy of Technological Sciences and Engineering,Scientific Academy,ATSE Professional & Early-Career Awards,Batterham Medal (Engineering); David & Valerie Solomon Award (Research-Industry Collaboration); ICM Agrifood Award; Ezio Rizzardo Polymer Scholarship,Mid 2026,Expected,https://www.atse.org.au/what-we-do/atse-awards/,https://www.atse.org.au/what-we-do/atse-awards/
Australian Museum,Statutory Body,Australian Museum Eureka Prizes,20+ categories including: Outstanding Science in Service to Society; Innovative Science in Journalism; Leadership in Science; Mentor of the Year; Early Career Researcher; Applied Science; Rural Health; Environmental Conservation; Materials Science; Animations for Science,Apr-May 2026,Expected,https://australianmuseum.net.au/what-we-do/eureka/,https://eurekaprizes.australian.museum/login
L'Oréal Australia,Corporate,L'Oréal-UNESCO For Women in Science Fellowships,National Fellowships; International Rising Talents; Laureates,Mar 2026,Expected,https://www.forwomeninscience.com.au/,https://www.forwomeninscience.com.au/
Australian Academy of Science,Private/Partnership,AAS Early-Career & Partnership Awards,Max Day Environmental Science Fellowship; Selby Fellowship; Theo Murphy Initiative Grants; Moran Medal; Ruth Stephens Gani Medal,Mar 2026,Expected,https://www.science.org.au,https://www.science.org.au
AIPS / CSL,Philanthropic / NGO,CSL Florey Medal,CSL Florey Medal (for most outstanding advances in medical research); CSL Best Biotechnology Award; CSL Young Researcher Award,TBA 2026,Next 2027,https://www.aips.net.au/florey-medal/,https://www.aips.net.au/florey-medal/
National Australia Day Council,Statutory Body,Australian of the Year Awards (Science Category),Australian of the Year; Senior Australian of the Year; Australia's Local Hero; State/Territory winners (all with science nominees),Jul-Aug 2026,Expected,https://www.australianoftheyear.org.au,https://www.australianoftheyear.org.au
Royal Society of NSW,Professional Society,Royal Society of NSW Awards,Clarke Medal; Linnean Medal; Royal Society of NSW Prizes; University Prize; Various medals by discipline,Varies by Award 2026,,https://www.royalsoc.org.au,https://www.royalsoc.org.au
Australian Mathematical Society,Professional Society,Australian Mathematical Society Awards,George Szekeres Medal (highest honour); Australian Mathematical Society Medal; Gavin Brown Prize; Teaching Excellence Awards; Lift-off Fellowships; WIMSIG Cheryl E. Praeger Travel Awards; WIMSIG Anne Penfold Street Awards; AMSI/AustMS WIMSIG Maryam Mirzakhani Award; Student Support Scheme; Student Prizes; Berwick Prize; Moran Medal,Apr-May 2026,Expected,https://www.austms.org.au,https://www.austms.org.au
Australian Chemical Institute,Professional Society,Australian Chemical Institute Awards,ACI Awards; RACI National Awards (joint); Teale Medal; Various by division (Organic; Inorganic; Physical; Analytical; Industrial),Varies by Award 2026,,https://www.aci.org.au,https://www.aci.org.au
Australian Institute of Physics,Professional Society,Australian Institute of Physics Awards,AIP Medal for Outstanding Physics; Physics in Australia; Women in Physics Prize; Postgraduate Prize; Teaching Awards; Branch Awards,Dec 2025 - Late 2026,,https://www.aip.org.au,https://www.aip.org.au
Australian Neuroscience Society,Professional Society,Australian Neuroscience Society Awards,AXA Research Fund Early Career Researcher Award; ANS Travel Awards; ANS Student Prizes; ANS Poster Awards,Late 2026,Expected,https://www.theans.org,https://www.theans.org
ASMR,Professional Society,Australian Society for Medical Research Awards,ASMR Medal; ASMR Student Awards; Travel Fellowships; Public Health Awards,Mid 2026,Expected,https://www.asmr.org.au,https://www.asmr.org.au
Australian Academy of Health and Medical Sciences,Scientific Academy,AAHMS Outstanding First Nations Researcher Medal,Standalone award,"Mar 1, 2026",Confirmed,https://aahms.org/awards/,mailto:awards@aahms.org
Australian Academy of Health and Medical Sciences,Scientific Academy,AAHMS Outstanding Female Researcher Medal,Standalone award,"Mar 1, 2026",Confirmed,https://aahms.org/awards/,mailto:awards@aahms.org
Australian Academy of Health and Medical Sciences,Scientific Academy,AAHMS Jian Zhou Medal,Standalone award (for significant contributions to health and medical science),"Apr 30, 2026",Confirmed,https://aahms.org/awards/,mailto:awards@aahms.org
Royal Australian Chemical Institute,Professional Society,RACI National Awards,RACI Awards (various by division: Organic; Inorganic; Physical; Analytical; Industrial Chemistry); The Robin Hill Award; The Leighton Medal; Higher Education Awards; Fernbach Award,Apr-Jun 2026,,https://www.raci.org.au/RACI/Awards/National_Awards.aspx,https://www.raci.org.au/RACI/Awards/National_Awards.aspx
Space Connect,Corporate,Australian Space Awards,Space Innovation; Space Researcher of the Year; Space Woman of the Year; Space Startup; Space Employer of Choice,Mid 2026,Expected,https://www.spaceindustry.com.au,https://www.spaceindustry.com.au
Walter and Eliza Hall Institute,Medical Research Institute,WEHI Burnet Prize,Burnet Prize (for most outstanding research by early career researcher); Frank McCallum Medal; Annual Science Meeting prizes,TBA 2026,TBA,https://www.wehi.edu.au,https://www.wehi.edu.au
Grains Research & Development Corp (GRDC),Research & Development Corp,GRDC Research Scholarship,Postgraduate Research; PhD Scholarships,"Oct 15, 2025",Confirmed,https://grdc.com.au/about/rd-and-e-capacity-and-ability/grdc-research-scholarship,https://grdc.com.au/about/rd-and-e-capacity-and-ability/grdc-research-scholarship
Australian Meteorological & Oceanographic Society (AMOS),Professional Society,AMOS Regional/Biennial Awards,Regional Awards; Biennial Awards; Research Achievement,Dec 31 (Regional) 2026; Sep 2026,Biennial,https://www.amos.org.au/activities/awards/,mailto:awards@amos.org.au
Astronomical Society of Australia (ASA),Professional Society,ASA Emerging Leaders in Astronomy Software Prize,Software Development in Astronomy; Early Career,"Feb 13, 2026",Confirmed,https://asa.astronomy.org.au/awards/prizes/,mailto:thill@museum.vic.gov.au
Ecological Society of Australia (ESA),Professional Society,ESA Conference Grants (Various),Student Travel; Research Support,Aug-Oct 2025,Confirmed,https://www.ecolsoc.org.au/awards-and-grants/,https://www.ecolsoc.org.au/awards-and-grants/
Australian Marine Sciences Association (AMSA),Professional Society,AMSA Marine Science Awards,Silver Jubilee Award; Early Career Award; Student Prizes,"Mar 15, 2026",Annual,https://www.amsa.asn.au/amsa-awards,https://www.amsa.asn.au/amsa-awards
Radicle Centre / NT Govt,State Government,Radicle Science Awards NT,Research Excellence; Innovation; Early Career; Student,"Oct 7, 2025",Confirmed,https://www.radiclent.net/,https://www.radiclent.net/
AgriFutures Australia,Research & Development Corp,AgriFutures Rural Women's Award,Leadership; Business; Rural Communities,Nov 2026,Expected,https://agrifutures.com.au/people-leadership/rural-womens-award/,https://agrifutures.com.au/people-leadership/rural-womens-award/
AgriFutures Australia,Research & Development Corp,AgriFutures Horizon Scholarship,Undergraduate Students; Agriculture Careers,Jan 2027,Expected,https://agrifutures.com.au/people-leadership/horizon-scholarship/,https://agrifutures.com.au/people-leadership/horizon-scholarship/
Cotton Research and Development Corporation (CRDC),Research & Development Corp,Australian Cotton Industry Awards,Researcher of the Year; Innovation Award; Young Achiever,Apr 2027,Expected,https://www.crdc.com.au/cotton-industry-awards,https://www.crdc.com.au/cotton-industry-awards
